"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_24_P245838",-2.86065884615382,9.98058405769231,-14.8486198676872,1.3086447346506e-27,2.54167062298645e-25,52.3019753548366
"A_33_P3384058",-3.84477730769229,6.29063115,-14.8426190189001,1.34713444185479e-27,2.6011432338664e-25,52.2732302561803
"A_23_P161439",-3.25069033076921,10.706165825,-14.8414926777715,1.35448467258058e-27,2.6011432338664e-25,52.2678344090013
"A_23_P75529",-3.02562201923076,6.06722268076923,-14.8322255752903,1.41651012276251e-27,2.69071514838536e-25,52.2234337012367
"A_23_P152995",-5.89795119615384,7.36486286730769,-14.8321729820017,1.41687015975591e-27,2.69071514838536e-25,52.2231816860829
"A_23_P391228",2.55616409230772,6.72441344230769,14.8291529394958,1.43769943266545e-27,2.71518672413276e-25,52.2087097713886
"A_33_P3392882",-3.2811433901923,4.25157999721154,-14.819474137483,1.50655073494092e-27,2.82958372376294e-25,52.162322036669
"A_23_P208866",-1.70519066346151,11.6779131778846,-14.8147148106521,1.54161265276062e-27,2.87961449777684e-25,52.1395078463498
"A_33_P3303810",2.91704276730773,10.4133873086538,14.7700688657746,1.91319350953112e-27,3.5542768334947e-25,51.9253628863587
"A_23_P150457",-3.35338863653844,7.94550057403846,-14.7549182667632,2.05876776233715e-27,3.8040464010795e-25,51.8526389768635
"A_23_P31816",-4.50314170961537,6.09403539519231,-14.7497766206471,2.11066052609042e-27,3.87896283673919e-25,51.8279525355553
"A_33_P3275702",-2.43948612499997,10.8939372259615,-14.7442674791175,2.16772213838145e-27,3.9625265163793e-25,51.8014981705725
"A_23_P38271",-3.5684372576923,4.96732167692308,-14.7313845597236,2.30728488073578e-27,4.19520846160592e-25,51.7396216002187
"A_24_P187056",-3.03368501923076,6.20506525192308,-14.7215925668933,2.41937431427746e-27,4.37573926904478e-25,51.6925775842538
"A_23_P204947",4.20482150192311,7.34136387019231,14.6551034464019,3.33980189854261e-27,6.00865517357273e-25,51.3728420248328
"A_33_P3346483",-3.36098736923077,3.11922866153846,-14.6533842757269,3.36778234103472e-27,6.02727244835549e-25,51.3645678968865
"A_23_P126706",-3.45162360192306,7.14269790673077,-14.6383684068049,3.62241026740024e-27,6.44921094638242e-25,51.2922838442509
"A_23_P15450",-4.6178041403846,8.61261271826923,-14.6344672245194,3.69167300581053e-27,6.53846934495448e-25,51.2734998237649
"A_23_P211504",2.40826280769234,8.34751717115385,14.6314510372741,3.74613427017433e-27,6.60072720398811e-25,51.2589757899367
"A_23_P53126",-2.01381139423074,10.8515599951923,-14.6194530306327,3.97088743814077e-27,6.96086386143415e-25,51.2011904686943
"A_23_P144348",-2.44503890384613,10.3831692115385,-14.6123561241814,4.1101588895439e-27,7.16824292455506e-25,51.1670020893009
"A_33_P3293446",-2.26189429999998,7.09726194423077,-14.6086675589685,4.18447226623255e-27,7.26080281607244e-25,51.1492305968297
"A_23_P85269",-3.50050583653845,7.31668946442308,-14.6007649113304,4.34826378589186e-27,7.50690409056271e-25,51.1111503045192
"A_23_P308974",-2.71029766730768,6.06230922980769,-14.5995991724374,4.37296443367407e-27,7.51161021287843e-25,51.1055323681829
"A_23_P12884",-2.23248903846151,10.5418308269231,-14.5695255246389,5.06132194125875e-27,8.6505583959024e-25,50.9605462825238
"A_33_P3306110",-2.90023118846152,8.24152202884615,-14.5662458410363,5.14269047933626e-27,8.74589993309211e-25,50.9447284215229
"A_33_P3307495",4.81149837115387,5.95871815288462,14.5627060947043,5.23198685147709e-27,8.85371319524956e-25,50.9276548726792
"A_23_P50368",-1.69472033269228,9.77027437211538,-14.552927303104,5.48685605829438e-27,9.23927096752102e-25,50.8804804238695
"A_23_P88069",-1.70007734615382,12.3505608365385,-14.5457103588248,5.68292402259417e-27,9.52251920903611e-25,50.8456575803612
"A_33_P3331856",-3.45894130384614,7.13837473653846,-14.5367211325028,5.93701737830406e-27,9.89975927036915e-25,50.802274718101
"A_23_P145631",-2.19282323461537,8.77135565192308,-14.5243703449251,6.30485595780087e-27,1.04620820973547e-24,50.7426532922709
